title,title_english,type,source,episodes,status
Norabbits&#039; Minutes,Norabbits&#039; Minutes,Movie,Unknown,5,Finished Airing
Sougou Medical Koushiki,,ONA,Original,2,Finished Airing
Isshuukan Friends.: Tomodachi to no Omoide,,Special,4-koma manga,1,Finished Airing
"Ikoku Meiro no Croisée The Animation: Ongakkai ""Récital""",La croisée dans un labyrinthe étranger Special,Special,Manga,1,Finished Airing
Gibo no Toiki: Haitoku Kokoro ni Tadayou Haha no Iroka,Do You Know the Milfing Man?,OVA,Visual novel,2,Finished Airing
Sei Michaela Gakuen Hyouryuuki,,OVA,Unknown,2,Finished Airing
Bikkuriman: Daiichiji Seima Taisen,,Movie,Unknown,1,Finished Airing
Sakura Tsuushin,Sakura Diaries,OVA,Manga,12,Finished Airing
Tokio Kidou Police,Tokio Private Police,OVA,Novel,2,Finished Airing
Chokotto Kamen feat. Inoue Kikuko,,Music,Original,1,Finished Airing
47 Todoufuken R,,TV,Unknown,12,Finished Airing
Kuro no Kyoushitsu,,OVA,Visual novel,2,Finished Airing
Sin: Nanatsu no Taizai Zange-roku Specials,,Special,Other,7,Finished Airing
Drifters (OVA),Drifters,OVA,Manga,2,Finished Airing
Shin Getter Robo tai Neo Getter Robo,Shin Getter Robo vs. Neo Getter Robo,OVA,Unknown,4,Finished Airing
Karin,Karin,TV,Manga,24,Finished Airing
Babyshiba,,Special,Original,6,Finished Airing
Seitokai Yakuindomo*,,TV,4-koma manga,13,Finished Airing
Mahou no Tenshi Creamy Mami: Long Goodbye,,OVA,Unknown,1,Finished Airing
Tokyo Loop,,Movie,Original,1,Finished Airing
Coo: Tooi Umi kara Kita Coo,,Movie,Novel,1,Finished Airing
Gunparade Orchestra,Gunparade Orchestra,TV,Game,24,Finished Airing
Nekketsu Saikyou Go-Saurer,,TV,Original,51,Finished Airing
Ebiten: Kouritsu Ebisugawa Koukou Tenmonbu,Ebiten,ONA,Manga,10,Finished Airing
Lose It,LOSE IT,Music,Original,3,Finished Airing
Wagaya no Oinari-sama. Specials,,Special,Unknown,12,Finished Airing
Sore Ike! Anpanman: Minna de Teasobi - Anpanman to Itazura Obake,,Movie,Unknown,1,Finished Airing
Top wo Nerae 2! Kagaku Kouza,,Special,Original,3,Finished Airing
Hotaru no Haka,Grave of the Fireflies,Movie,Novel,1,Finished Airing
Dame Oyaji,,TV,Manga,26,Finished Airing
Milky Passion: Dougenzaka - Ai no Shiro,,OVA,Manga,1,Finished Airing
Robot Carnival,Robot Carnival,OVA,Original,1,Finished Airing
Wei Qi Shao Nian,Chess Player,TV,Unknown,26,Finished Airing
Reunion,,OVA,Visual novel,2,Finished Airing
Nami,,Movie,Original,1,Finished Airing
Hennako-chan,,ONA,Unknown,6,Finished Airing
Fuku-chan no Zousan Butai,,Movie,Other,1,Finished Airing
Hyouka,Hyouka,TV,Novel,22,Finished Airing
One Pound Gospel,One Pound Gospel,OVA,Manga,1,Finished Airing
Redial,,Music,Unknown,1,Finished Airing
Chiisana Teien,The Small Garden,Movie,Unknown,1,Finished Airing
Toshi Keikaku,City Planning,Music,Music,1,Finished Airing
Saint Seiya: Meiou Hades Juuni Kyuu-hen,,OVA,Manga,13,Finished Airing
Ore ga Suki nano wa Imouto dakedo Imouto ja Nai,,TV,Light novel,0,Not yet aired
Injuu Seisen XX,Twin Angels (2),OVA,Unknown,4,Finished Airing
Osu,Male,Movie,Original,1,Finished Airing
Captain Tsubasa: Sekai Daikessen!! Jr. World Cup,,Movie,Unknown,1,Finished Airing
Puzzle & Dragon,Puzzle & Dragon,TV,Game,0,Currently Airing
Harisu no Kaze,,TV,Unknown,70,Finished Airing
Monogatari Series: Second Season,Monogatari Series: Second Season,TV,Light novel,26,Finished Airing
Xi Yang Yang Yu Hui Tai Lang: Zhi Niu Qi Chong Tian,Pleasant Goat and Big Big Wolf: The Super Snail Adventure,Movie,Unknown,1,Finished Airing
Masuda Kousuke Gekijou Gag Manga Biyori,,TV,Manga,12,Finished Airing
Chou Supercar Gattiger,,TV,Unknown,25,Finished Airing
Naniwa Yuukyouden,,OVA,Unknown,1,Finished Airing
"Misenai Namida wa, Kitto Itsuka",,Music,Unknown,1,Finished Airing
Kotowaza House,,TV,Unknown,773,Finished Airing
Shichisei no Subaru,,TV,Light novel,0,Not yet aired
Yong Zhe Da Mao Xian,,ONA,Original,26,Finished Airing
Super Mario Brothers: Peach-hime Kyuushutsu Daisakusen!,Super Mario Brothers: Great Mission to Rescue Princess Peach,Movie,Game,1,Finished Airing
Cream Lemon: Lemon Angel,Lemon Angel,TV,Other,37,Finished Airing
Dokkaebi Gamtu,,Movie,Unknown,1,Finished Airing
Litchi DE Hikari Club,Lychee Light Club,TV,Manga,8,Finished Airing
Queen&#039;s Blade OVA,,OVA,Other,2,Finished Airing
Haha Sange,Step MILF,OVA,Visual novel,2,Finished Airing
Chikara to Onna no Yo no Naka,,Movie,Original,1,Finished Airing
Menkui!,,OVA,Manga,2,Finished Airing
Aware! Meisaku-kun: Short Douga,,ONA,Original,1,Finished Airing
Boku dake no Hentai Kanojo Motto♥ The Animation,,OVA,Manga,1,Finished Airing
Momotarou: Umi no Shinpei,Momotaro: Sacred Sailors,Movie,Original,1,Finished Airing
Mahou Sensei Negima! Tokubetsu Eizou,,Music,Manga,3,Finished Airing
Oidon to,,TV,Original,0,Currently Airing
Hamatora The Animation: Saishuukai Chokuzen! Mao ga Okuru,,Special,Unknown,1,Finished Airing
Zetsuen no Tempest,Blast of Tempest,TV,Manga,24,Finished Airing
Arashi no Yoru ni: Himitsu no Tomodachi,,TV,Unknown,26,Finished Airing
Outsider:Requiem,-OutsideR:RequieM-,Music,Original,1,Finished Airing
Chokkyuu Hyoudai Robot Anime: Straight Title,Straight Title Robot Anime,TV,Unknown,12,Finished Airing
TV-ban Pokemon Special Masara Town-hen Recaps,,OVA,Game,3,Finished Airing
Aishiteruze Baby★★,,TV,Manga,26,Finished Airing
Pucca (2006),,TV,Unknown,26,Finished Airing
Mahoutsukai ni Taisetsu na Koto,Someday&#039;s Dreamers,TV,Manga,12,Finished Airing
Yasamura Yasashi no Yasashii Sekai,,TV,Original,16,Finished Airing
Kannazuki no Miko,Destiny of the Shrine Maiden,TV,Manga,12,Finished Airing
Chuuko Video-ya no Onna Tenin X,,ONA,Manga,1,Finished Airing
Kingyo Chuuihou!,Goldfish Forecast!,TV,Unknown,54,Finished Airing
Go Go Smile Anime,,Special,Original,6,Finished Airing
Megachu!,Oh My Sex Goddess,OVA,Visual novel,3,Finished Airing
Fantastic Children Special,,Special,Unknown,1,Finished Airing
Piyoko ni Omakase pyo!,,OVA,Unknown,8,Finished Airing
Taiyou to Tsuki no Kodomo-tachi (2018),,Music,Original,1,Finished Airing
Blood Lad: Kanketsu Kinen,,ONA,Manga,1,Finished Airing
Captain Herlock,Space Pirate Captain Harlock,Movie,Manga,1,Finished Airing
Amada Anime Series: Super Mario Brothers,,OVA,Game,3,Finished Airing
Hakoiri Shoujo: Virgin Territory,,OVA,Visual novel,2,Finished Airing
Odoroki Ban,Phenakistoscope,Movie,Unknown,1,Finished Airing
Nogizaka Haruka no Himitsu,Haruka Nogizaka&#039;s Secret,TV,Light novel,12,Finished Airing
Denpa Kyoushi (TV),Ultimate Otaku Teacher,TV,Manga,24,Finished Airing
Muteki We Are One!!,,Music,Original,1,Finished Airing
Hoero! Bun Bun (Movie),,Movie,Unknown,1,Finished Airing
Mobile Suit Gundam Unicorn: Episode EX - 100 Years of Solitude,,Special,Unknown,1,Finished Airing
Free!: Take Your Marks,Free! -Take Your Marks-,Special,Original,1,Finished Airing
Stranger: Mukou Hadan,Sword of the Stranger,Movie,Original,1,Finished Airing
Mugen no Ryvius,Infinite Ryvius,TV,Original,26,Finished Airing
Cinderella Girls Gekijou: Kayou Cinderella Theater 2nd Season,,ONA,4-koma manga,13,Finished Airing
Saru Kani Gassen (1927),Yasuji Murata&#039;s Monkey and the Crabs,Movie,Other,1,Finished Airing
Kimezou no Kimarimonku Ja Kimaranee.,,ONA,Unknown,12,Finished Airing
Nodame Cantabile Finale Special,,Special,Manga,1,Finished Airing
Kaze no Na wa Amnesia,A Wind Named Amnesia,Movie,Light novel,1,Finished Airing
Lemon Angel Project,,TV,Other,13,Finished Airing
Wild 7 Another Bouryaku Unga,Wild 7 Another,TV,Manga,13,Finished Airing
Inuki Kanako Zekkyou Collection: Gakkou ga Kowai!,,OVA,Unknown,1,Finished Airing
Bakuten Shoot Beyblade the Movie: Gekitou!! Takao vs. Daichi,Beyblade the Movie: Decisive Battle! Takao VS Daichi,Movie,Manga,1,Finished Airing
Yu☆Gi☆Oh! (Movie),,Movie,Manga,1,Finished Airing
Bucchigiri,,OVA,Unknown,4,Finished Airing
Doraemon: It&#039;s Spring!,,Special,Unknown,1,Finished Airing
Kimi no Mana wa Rina Witch,Your Magical Name is Rina Witch,OVA,Visual novel,0,Currently Airing
The Bathroom,,Movie,Original,1,Finished Airing
Mahou Shoujo Ai,,OVA,Visual novel,5,Finished Airing
Dragon Egg,Dragon Egg,TV,Original,0,Currently Airing
Iron Man,Iron Man,TV,Other,12,Finished Airing
Pro Golfer Saru: Kouga Hikyou! Kage no Ninpou Golfer Sanjou!,,Movie,Unknown,1,Finished Airing
Trust,Trust,Music,Original,1,Finished Airing
Shangri-La,Shangri-La,TV,Novel,24,Finished Airing
Medaka Box,Medaka Box,TV,Manga,12,Finished Airing
Dr. Slump Movie 06: Arale-chan N-cha! Penguin Mura wa Hare Nochi Hare,Dr. Slump and Arale-chan: N-cha! Clear Skies Over Penguin Village,Movie,Manga,1,Finished Airing
Boku no Marie,My Dear Marie,OVA,Manga,3,Finished Airing
Kouya no Shounen Isamu,,TV,Unknown,52,Finished Airing
Ribbon no Kishi,Princess Knight,TV,Manga,52,Finished Airing
Kanojo to Kanojo no Neko: Everything Flows,,TV,Original,4,Finished Airing
Koutetsu Tenshi Kurumi Zero,,OVA,Original,3,Finished Airing
Bishoujo Senshi Sailor Moon SuperS Special,,Special,Manga,3,Finished Airing
Paprika,Paprika,Movie,Novel,1,Finished Airing
Uchiage Hanabi,,Music,Other,1,Finished Airing
Hajime no Ippo,Fighting Spirit,TV,Manga,75,Finished Airing
Zecchou Rocket,,OVA,Manga,2,Finished Airing
Dragon Ball Z Movie 06: Gekitotsu!! 100-oku Power no Senshi-tachi,Dragon Ball Z Movie 06: The Return of Cooler,Movie,Manga,1,Finished Airing
Onna Kyoushi Nijuusan-sai,,OVA,Unknown,2,Finished Airing
Triangle Heart: Sazanami Joshi Ryo,Triangle Heart: Sazanami Joshi Ryo,OVA,Unknown,5,Finished Airing
Saiko Robot Kombock,Cubix,TV,Unknown,25,Finished Airing
Candy Candy: Haru no Yobigoe,Candy Candy: The Call of Spring,Movie,Unknown,1,Finished Airing
Mei King,,OVA,Visual novel,4,Finished Airing
Rokuhoudou Yotsuiro Biyori,,TV,Manga,12,Currently Airing
Zenchuu Maite,Dancer of Vermicular,Movie,Other,1,Finished Airing
Zone of the Enders: 2167 Idolo,Z.O.E. 2167 Idolo,OVA,Game,1,Finished Airing
Sore ga Seiyuu!: Petit Uchiage,,Special,Web manga,1,Finished Airing
Kaitou Saint Tail,Mysterious Thief Saint Tail,TV,Manga,43,Finished Airing
Taimanin Yukikaze,,OVA,Visual novel,3,Finished Airing
Mangirl!: Asobu Henshuu Girl,,Special,Manga,1,Finished Airing
Tama Pawns,Tama-Pawns,ONA,Original,6,Finished Airing
Kitty to Mimmy no Atarashii Kasa,,Movie,Original,1,Finished Airing
Xiong Chumo Zhi: Qihuan Kongjian,Boonie Bears: Entangled Worlds,Movie,Original,1,Finished Airing
Jiu Se Lu,,Movie,Unknown,1,Finished Airing
Mutekiou Tri-Zenon,Invincible King Tri-Zenon,TV,Unknown,22,Finished Airing
Battery,,TV,Novel,11,Finished Airing
Hoshi Uranai Kirakira,,Music,Original,1,Finished Airing
Tokiwa Kitareri!!,,Special,Manga,1,Finished Airing
Shakugan no Shana,Shakugan no Shana: Season I,TV,Light novel,24,Finished Airing
Ninin ga Shinobuden,Ninja Nonsense,TV,Manga,12,Finished Airing
Generation of Chaos III: Toki no Fuuin,,OVA,Game,2,Finished Airing
Tsuritama: Harikitte Contest,,Special,Unknown,1,Finished Airing
Kakugo no Susume,Apocalypse Zero,OVA,Manga,2,Finished Airing
Yuu☆Yuu☆Hakusho (Movie),Yu Yu Hakusho: The Movie,Movie,Manga,1,Finished Airing
Doraemon Movie 11: Nobita to Animal Planet,Doraemon the Movie: Nobita and the Animal Planet,Movie,Unknown,1,Finished Airing
Manga Nippon Mukashibanashi (Movie),,Movie,Unknown,1,Finished Airing
Chikyuu Monogatari Telepath 2500,Earth Story Telepath 2500,Movie,Original,1,Finished Airing
Bannou Bunka Neko-Musume DASH!,All Purpose Cultural Cat Girl Nuku Nuku Dash!,OVA,Unknown,12,Finished Airing
"Onihei: Sono Otoko, Heizou Hasegawa",,OVA,Novel,1,Finished Airing
Sajou no Yumekui Shoujo,Sajyo no Yumekui Syoujyo,Music,Music,1,Finished Airing
Bishoujo Yuugi Unit Crane Game Girls,Crane Game Girls,TV,Original,13,Finished Airing
Peeping Life,,TV,Original,10,Finished Airing
"Love Hina: Motoko no Sentaku, Koi ka Ken... ""Naku na""",Love Hina: Motoko&#039;s Choice Between Love or Swords: Don&#039;t cry!,Special,Unknown,1,Finished Airing
Potecco Babies (2011),,ONA,Unknown,12,Finished Airing
Keiraku no Houteishiki Level-C,Level-C,OVA,Manga,1,Finished Airing
Kodomo no Keijijougaku,A Child&#039;s Metaphysics,ONA,Original,1,Finished Airing
Nurse Witch Komugi-chan Magikarte Z Special,,Special,Original,1,Finished Airing
Great Hunt,,TV,Unknown,19,Finished Airing
Akuma-kun,,TV,Manga,42,Finished Airing
UFO Princess Valkyrie 3: Seiresetsu no Hanayome,UFO Ultramaiden Valkyrie 3: Bride of Celestial Souls&#039; Day,OVA,Manga,6,Finished Airing
Acchi Kocchi (TV): Place=Princess,,Special,4-koma manga,1,Finished Airing
Fuuun Ishin Dai☆Shogun,Dai-Shogun: Great Revolution,TV,Original,12,Finished Airing
Nagisa,,Music,Music,1,Finished Airing
Storywriter,,Music,Music,1,Finished Airing
Sei Michaela Gakuen Hyouryuuki II,Sins of the Sisters,OVA,Unknown,2,Finished Airing
Kumo no Ito (OVA),,OVA,Unknown,1,Finished Airing
Choujuu Kishin Dancougar: Juusenki-tai Songs,,OVA,Unknown,1,Finished Airing
Asari-chan,,TV,Manga,54,Finished Airing
Mousou Dairinin,Paranoia Agent,TV,Original,13,Finished Airing
Dragon Nest: Throne of Elves,Dragon Nest: Throne of Elves,Movie,Game,1,Finished Airing
Tokyo Ghoul:re,,TV,Manga,12,Currently Airing
Kushimitama Samurai,,Special,Unknown,1,Finished Airing
Mono-darake!,Monodarake!,TV,Original,0,Currently Airing
New Tokyo Ondo,,Movie,Unknown,1,Finished Airing
Norakuro Nitouhei: Enshuu no Maki,Private 2nd Class Norakuro: The Drill,Movie,Manga,1,Finished Airing
12-sai.,Age 12,OVA,Manga,8,Finished Airing
Wonderful Days,Sky Blue,Movie,Original,1,Finished Airing
Fortune Arterial: Akai Yakusoku - Tadoritsuita Basho,,OVA,Visual novel,1,Finished Airing
Sayonara Zetsubou Sensei Jo: Zoku Zetsubou Shoujo Senshuu,,Special,Manga,1,Finished Airing
Koinaka: Koinaka de Hatsukoi x Nakadashi Sexual Life The Animation,,OVA,Visual novel,1,Finished Airing
Tokyo Juushouden,Ten Tokyo Warriors,OVA,Unknown,3,Finished Airing
Genocyber,,OVA,Manga,5,Finished Airing
Bungaku Shounen no Yuuutsu,The Melancholia of a Literary Boy,Music,Music,1,Finished Airing
Hakyuu Houshin Engi,Hakyu Hoshin Engi,TV,Manga,23,Currently Airing
eX-Driver: Nina & Rei Danger Zone,,OVA,Original,1,Finished Airing
Happiness Charge Precure!,,TV,Original,49,Finished Airing
Shin-chan ga Naita!,,OVA,Unknown,1,Finished Airing
Witch Craft Works Specials,,Special,Unknown,6,Finished Airing
Card Wang: Mix Master,Mix Master: King of Cards,TV,Unknown,39,Finished Airing
Kyojin no Hoshi: Dai League Ball,,Movie,Unknown,1,Finished Airing
Kyou no 5 no 2 Kagai Jugyou: Mizukake,,Special,Unknown,1,Finished Airing
Tokyo Ghoul √A,Tokyo Ghoul √A,TV,Manga,12,Finished Airing
Kokoro Connect,Kokoro Connect,TV,Light novel,13,Finished Airing
Gyakkyou Burai Kaiji: Ultimate Survivor,Kaiji: Ultimate Survivor,TV,Manga,26,Finished Airing
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,Gurren Lagann The Movie: The Lights in the Sky are Stars,Movie,Original,1,Finished Airing
Daruma-chan,,OVA,Unknown,5,Finished Airing
Tetsujin 28-gou: Tanjou-hen,,Special,Unknown,1,Finished Airing
Seikai no Senki,Banner of the Stars,TV,Light novel,13,Finished Airing
Sora to Umi no Aida,,TV,Game,0,Not yet aired
Fortissimo Bell,,Music,Original,1,Finished Airing
Sangokushi,,Special,Unknown,1,Finished Airing
Memories Off 2nd,,OVA,Visual novel,3,Finished Airing
Kuruneko: Kurunekobin,,Special,Manga,4,Finished Airing
The Impression of First Gundam,,Special,Unknown,1,Finished Airing
Detective Conan Movie 22: Zero The Enforcer,,Movie,Manga,1,Finished Airing
Oshiete Re: Maid,,OVA,Visual novel,2,Finished Airing
Soushi Souai: Junai Mellow yori,,OVA,Manga,1,Finished Airing
Ai wa KAT-TUN,,ONA,Unknown,5,Finished Airing
Black Cat: Toozakaru Neko,,Special,Manga,1,Finished Airing
Macross FB7: Ore no Uta wo Kike!,,Movie,Unknown,1,Finished Airing
Himalaya no Hikari no Oukoku,,OVA,Unknown,1,Finished Airing
Cherry Blossom (Music),,Music,Music,1,Finished Airing
Kaijuu,KAIJYU,Music,Music,1,Finished Airing
Mokke,,TV,Manga,24,Finished Airing
Kenran Butou Sai: The Mars Daybreak,Mars Daybreak,TV,Original,26,Finished Airing
World Fool News (TV) Part II,World Fool News Part II,TV,Other,12,Finished Airing
Wu Lan Qi Qi Ge,Twins on the Pasture,TV,Unknown,26,Finished Airing
Nobunaga Concerto,,TV,Manga,10,Finished Airing
Murder Princess,Murder Princess,OVA,Manga,6,Finished Airing
Street Fighter II Movie,Street Fighter II: The Animated Movie,Movie,Game,1,Finished Airing
Katsugeki/Touken Ranbu Movie,,Movie,Card game,1,Not yet aired
Hen,Strange Love,OVA,Manga,2,Finished Airing
Ore-sama Kingdom,,OVA,Manga,14,Finished Airing
Death Parade,Death Parade,TV,Original,12,Finished Airing
Koneko no Studio,Kitty&#039;s Studio,Movie,Original,1,Finished Airing
Shiroi Kiba White Fang Monogatari,,Special,Novel,1,Finished Airing
Kinken Chochiku Shiobara Tasuke,,Movie,Other,1,Finished Airing
AIKa: Special Trial,,Special,Unknown,1,Finished Airing
Tactical Roar,,TV,Unknown,13,Finished Airing
Uchuu Kazoku Carlvinson,,OVA,Manga,1,Finished Airing
Nougyou Musume!,,Special,Unknown,1,Finished Airing
Tsubuyaki-tai Specials,,Special,Original,2,Finished Airing
Lupin tai Holmes,,Special,Unknown,1,Finished Airing
Cook no Polka,,Music,Music,1,Finished Airing
Precure All Stars Movie: Haru no Carnival♪,,Movie,Original,1,Finished Airing
Bakuon!! OVA,,OVA,Manga,2,Finished Airing
Wake Up! Aria: Majokko Virgin Kiki Ippatsu,Wake Up! Aria,OVA,Unknown,1,Finished Airing
Tetsuro no Kanata,,OVA,Unknown,1,Finished Airing
Otome Juurin Yuugi: Maiden Infringement Play,,OVA,Visual novel,2,Finished Airing
One Piece: Mamore! Saigo no Dai Butai,,Special,Manga,1,Finished Airing
Numa no Taishou,General of the Swamp,Movie,Original,1,Finished Airing
Misuzu: Ikenai Koto,,OVA,Manga,1,Finished Airing
Heroman,,TV,Original,26,Finished Airing
Seikatsu Shidou!! Anime Edition,,OVA,Manga,2,Finished Airing
Quiz Magic Academy: The Original Animation 2,,OVA,Game,1,Finished Airing
Ochamegami Monogatari: Korokoro Pollon,Little Pollon,TV,Manga,46,Finished Airing
Chirico,,Movie,Original,1,Finished Airing
Marginal Prince: Gekkeiju no Ouji-tachi - Tokyo Merry-Go-Round,,Special,Visual novel,1,Finished Airing
Tanu no Magical Holiday,,Music,Original,1,Finished Airing
Amon: Devilman Mokushiroku,,OVA,Manga,1,Finished Airing
Da Zuiba Dudu,,TV,Unknown,52,Finished Airing
Angelique: Seichi yori Ai wo Komete,,OVA,Unknown,3,Finished Airing
Hyaku-nengo no Aru Hi,A Day after a Hundred Years,Movie,Original,1,Finished Airing
Ginga Tetsudou 999: Hoshizora wa Time Machine,,Movie,Unknown,1,Finished Airing
Naniwabushi Daisuki,,Special,Unknown,1,Finished Airing
Tsukimonogatari,Tsukimonogatari,TV,Light novel,4,Finished Airing
Bleach Movie 4: Jigoku-hen,Bleach the Movie: Hell Verse,Movie,Manga,1,Finished Airing
Lupin III: Pilot Film (1978),,OVA,Manga,1,Finished Airing
Bishoujo Senshi Sailor Moon S,Sailor Moon S,TV,Manga,38,Finished Airing
Anata no Shiranai Kangofu: Seiteki Byoutou 24 Ji,,OVA,Visual novel,2,Finished Airing
Saint Seiya: Jashin Eris,Saint Seiya the Movie: Evil Goddess Eris,Movie,Unknown,1,Finished Airing
Glass no Kantai: La Legende du Vent de l&#039;Univers Specials,Glass Fleet: The Legend of the Wind of the Universe Specials,Special,Original,2,Finished Airing
RESTOL: Special Rescue Team,"RESTOL, The Full-Armed Rescue Squad",TV,Unknown,26,Finished Airing
Kurogane no Linebarrels Specials,Linebarrels of Iron,Special,Manga,2,Finished Airing
Big X,,TV,Manga,59,Finished Airing
Kaitou Joker 3rd Season,JOKER 3rd Season,TV,Manga,13,Finished Airing
Tenjou Tenge,Tenjho Tenge,TV,Manga,24,Finished Airing
Gulliver Funtouki,Gulliver&#039;s Great Activities,Movie,Book,1,Finished Airing
Pro Golfer Saru,,Special,Unknown,1,Finished Airing
Girls & Panzer: Shoukai Shimasu!,,Special,Original,2,Finished Airing
Ai Monogatari: 9 Love Stories,,OVA,Unknown,1,Finished Airing
Shinzou Ningen Casshern,Neo Human Casshan,TV,Original,35,Finished Airing
Suite Precure♪,,TV,Original,48,Finished Airing
Kikou Keisatsu Metal Jack,,TV,Unknown,37,Finished Airing
Histoire d&#039;Etty,,Movie,Unknown,1,Finished Airing
Tokyo ESP,Tokyo ESP,TV,Manga,12,Finished Airing
Kininaru Roommate,The Roommate,OVA,Manga,2,Finished Airing
Dotanba no Manners,,TV,Unknown,283,Finished Airing
Precure All Stars Movie New Stage: Mirai no Tomodachi,,Movie,Original,1,Finished Airing
Organic,,ONA,Unknown,1,Finished Airing
Oshioki: Gakuen Reijou Kousei Keikaku,,OVA,Visual novel,3,Finished Airing
Love Hina Again,Love Hina Again,OVA,Manga,3,Finished Airing
Hishoka Drop The Animation,,OVA,Manga,1,Finished Airing
New Game!,New Game!,TV,4-koma manga,12,Finished Airing
Honey Tokyo,Honey Tokyo,ONA,Unknown,1,Finished Airing
Kaijuu Girls: Ultra Kaijuu Gijinka Keikaku 2nd Season,,TV,Original,12,Finished Airing
Sugai-kun to Kazoku Ishi,Sguy and the Family Stone,ONA,Original,10,Finished Airing
Chikyuu SOS Sore Ike Kororin,Do it Kororin Earth SOS,TV,Unknown,26,Finished Airing
SeeIn AO,,OVA,Visual novel,2,Finished Airing
Kage no Kodomo,Children of the Shadows,Movie,Original,1,Finished Airing
Notteke Explet&#039;s,,TV,Unknown,26,Finished Airing
"Shinran-sama: Negai, Soshite Hikari",,OVA,Unknown,1,Finished Airing
Detective Conan: The Bomb Demon That Came From the Picture Book,,Special,Manga,2,Not yet aired
Henna Ie!,,Music,Original,1,Finished Airing
Marshmallow★Imouto★Succubus★,,OVA,Visual novel,2,Finished Airing
Keifuku-san,,ONA,Original,1,Finished Airing
"Fudanshi Koukou Seikatsu: Sports no Aki, Bonnou no Aki",The Highschool Life of a Fudanshi Special,Special,Manga,1,Finished Airing
Hyper-Psychic Geo Garaga,Garaga,Movie,Manga,1,Finished Airing
Wakaokami wa Shougakusei!,,TV,Novel,0,Currently Airing
Zo Zo Zo Zombie-kun,,ONA,Manga,2,Finished Airing
Soratobu Yuureisen,,Movie,Unknown,1,Finished Airing
Captain Future,,TV,Novel,52,Finished Airing
Sword Art Online II: Sword Art Offline II,,Special,Light novel,9,Finished Airing
Abstract feat. Alkama,Abstract feat. Alkama,Movie,Original,1,Finished Airing
Kyoto Animation: Sora-hen,Sky,Special,Original,1,Finished Airing
AIKa Zero,,OVA,Unknown,3,Finished Airing
Wonder Garden,,ONA,Unknown,1,Finished Airing
Install Pilot,,Special,Original,1,Finished Airing
Mobile Fighter G Gundam,Mobile Fighter G Gundam,TV,Original,49,Finished Airing
Joki Joki Tailor,,Music,Unknown,1,Finished Airing
Seisho Gensou Fu: Adam to Eve,A Biblic Fantasy: Adam and Eve,Movie,Original,1,Finished Airing
Delpower X Bakuhatsu Miracle Genki!,,OVA,Original,1,Finished Airing
Makai Senki Disgaea: Welcome to Netherworld,,Special,Game,1,Finished Airing
Dokidoki Dream!!!,,Music,Original,1,Finished Airing
Kikoushi Enma,Demon Prince Enma,OVA,Manga,4,Finished Airing
Kodomo no Jikan OVA,,OVA,Manga,3,Finished Airing
Masou Gakuen HxH Specials,,Special,Light novel,6,Finished Airing
ID-0,ID-0,TV,Original,12,Finished Airing
Kinnikuman (Movie),,Movie,Unknown,1,Finished Airing
Taekwon Dongja Maruchi Arachi,,Movie,Unknown,1,Finished Airing
Crazy Monkey,,Movie,Unknown,1,Finished Airing
"The iDOLM@STER Million Live! ""Dreaming!"" Animation PV",,Music,Game,1,Finished Airing
Full Metal Panic! Invisible Victory,,TV,Light novel,12,Currently Airing
Dimension Loop,,OVA,Original,1,Finished Airing
Devour Dinner,,Movie,Unknown,1,Finished Airing
Momon&#039;s Sand Witch,,ONA,Unknown,8,Finished Airing
Shinryaku! Ika Musume: Ika Ice Tabena-ika?,,Music,Manga,1,Finished Airing
Tokai no Butchy,,Movie,Unknown,1,Finished Airing
Tsumiki no Ie,La Maison en Petits Cubes,Movie,Original,1,Finished Airing
Macross Flash Back 2012,,OVA,Unknown,1,Finished Airing
Happy Party Train,,Music,Music,1,Finished Airing
Hello Kitty no Yume Dorobou,Hello Kitty in The Dream Thief,OVA,Unknown,1,Finished Airing
Figure 17: Tsubasa & Hikaru,,TV,Original,13,Finished Airing
Pop,,Movie,Original,1,Finished Airing
Tiger & Bunny Pilot,Tiger & Bunny Pilot,Special,Unknown,1,Finished Airing
Conception: Ore no Kodomo wo Undekure!,,TV,Game,0,Not yet aired
Groove Adventure Rave,Rave Master,TV,Manga,51,Finished Airing
Freedom Previsited,,OVA,Unknown,1,Finished Airing
Animegataris,Anime-Gataris,TV,Original,12,Finished Airing
Eagle Sam,,TV,Unknown,51,Finished Airing
Kiss yori...,A Heat for All Seasons,OVA,Visual novel,3,Finished Airing
Kintarou no Koutsuu Anzen,,OVA,Original,1,Finished Airing
Bartender,Bartender,TV,Manga,11,Finished Airing
Kurai Mirai,Dark Future,OVA,Visual novel,2,Finished Airing
Bronze: Kouji Nanjo Cathexis,,OVA,Manga,1,Finished Airing
Elec-king The Animation,,TV,Unknown,13,Finished Airing
DNA²,DNA²,TV,Manga,12,Finished Airing
Toumei Ningen,Transparent Man,Movie,Original,1,Finished Airing
Uchuu no Kishi Tekkaman Blade OVA: Missing Link,Tekkaman Blade: Missing Link,OVA,Unknown,1,Finished Airing
Rescue Academia,,Unknown,Original,0,Not yet aired
Gyouten Ningen Batsealer,Captain Fatz and the Seamorphs,TV,Unknown,52,Finished Airing
Lime-iro Ryuukitan X,,TV,Visual novel,13,Finished Airing
